Epoch,Train_loss,Train_acc
0,1.3339869027075015,0.6358333
1,0.4036042635378085,0.88
2,0.36912699239818675,0.8808333
3,0.34385495064289945,0.8925
4,0.30764791830197763,0.89416665
5,0.24573594081754746,0.9291667
6,0.24126123813422104,0.9266667
7,0.2117916366183444,0.92833334
8,0.17926458769330852,0.9425
9,0.15725264860023008,0.94666666
10,0.19230695505087314,0.93583333
11,0.15547450705382385,0.94166666
12,0.15040348937097742,0.9508333
13,0.11120110127682749,0.9608333
14,0.14279807001156242,0.9525
15,0.10522223532346911,0.96
16,0.10471628128403895,0.965
17,0.10464549018070102,0.9691667
18,0.10022118169887874,0.96166664
19,0.12103938201050225,0.95166665
